system,case_id,expected_conflict,detected_v2,detected_legacy,case_type
HACS,1,true,true,true,partial-action-overlap
HACS,2,true,true,false,exact-overlap-opposite-effect
HACS,3,true,true,true,exact-overlap-opposite-effect
HACS,4,true,true,false,partial-action-overlap
HACS,5,true,true,true,exact-overlap-opposite-effect
HACS,6,true,true,false,exact-overlap-opposite-effect
HACS,7,true,true,true,partial-action-overlap
HACS,8,true,true,false,exact-overlap-opposite-effect
HACS,9,true,true,true,exact-overlap-opposite-effect
HACS,10,true,true,false,partial-action-overlap
HACS,11,true,true,true,exact-overlap-opposite-effect
HACS,12,true,true,false,exact-overlap-opposite-effect
HACS,13,true,true,true,partial-action-overlap
HACS,14,true,true,false,exact-overlap-opposite-effect
HACS,15,true,true,true,exact-overlap-opposite-effect
HACS,16,true,true,false,partial-action-overlap
HACS,17,true,true,true,exact-overlap-opposite-effect
HACS,18,true,true,false,exact-overlap-opposite-effect
HACS,19,true,true,true,partial-action-overlap
HACS,20,true,true,false,exact-overlap-opposite-effect
HACS,21,true,true,true,exact-overlap-opposite-effect
HACS,22,true,true,false,partial-action-overlap
HACS,23,true,true,true,exact-overlap-opposite-effect
HACS,24,true,true,false,exact-overlap-opposite-effect
HACS,25,true,true,true,partial-action-overlap
HACS,26,true,true,false,exact-overlap-opposite-effect
HACS,27,true,true,true,exact-overlap-opposite-effect
HACS,28,true,true,false,partial-action-overlap
HACS,29,true,true,true,exact-overlap-opposite-effect
HACS,30,true,true,false,exact-overlap-opposite-effect
HACS,31,false,false,true,different-subject
HACS,32,false,false,false,different-resource
HACS,33,false,false,true,disjoint-action
HACS,34,false,false,false,same-effect
HACS,35,false,false,true,different-subject-attribute
HACS,36,false,false,false,different-subject
HACS,37,false,false,true,different-resource
HACS,38,false,false,false,disjoint-action
HACS,39,false,false,false,same-effect
HACS,40,false,false,false,different-subject-attribute
HACS,41,false,false,true,different-subject
HACS,42,false,false,false,different-resource
HACS,43,false,false,true,disjoint-action
HACS,44,false,false,false,same-effect
HACS,45,false,false,true,different-subject-attribute
HACS,46,false,false,false,different-subject
HACS,47,false,false,true,different-resource
HACS,48,false,false,false,disjoint-action
HACS,49,false,false,false,same-effect
HACS,50,false,false,false,different-subject-attribute
HACS,51,false,false,true,different-subject
HACS,52,false,false,false,different-resource
HACS,53,false,false,true,disjoint-action
HACS,54,false,false,false,same-effect
HACS,55,false,false,true,different-subject-attribute
HACS,56,false,false,false,different-subject
HACS,57,false,false,true,different-resource
HACS,58,false,false,false,disjoint-action
HACS,59,false,false,false,same-effect
HACS,60,false,false,false,different-subject-attribute
FMS,1,true,true,true,partial-action-overlap
FMS,2,true,true,false,exact-overlap-opposite-effect
FMS,3,true,true,true,exact-overlap-opposite-effect
FMS,4,true,true,false,partial-action-overlap
FMS,5,true,true,true,exact-overlap-opposite-effect
FMS,6,true,true,false,exact-overlap-opposite-effect
FMS,7,true,true,true,partial-action-overlap
FMS,8,true,true,false,exact-overlap-opposite-effect
FMS,9,true,true,true,exact-overlap-opposite-effect
FMS,10,true,true,false,partial-action-overlap
FMS,11,true,true,true,exact-overlap-opposite-effect
FMS,12,true,true,false,exact-overlap-opposite-effect
FMS,13,true,true,true,partial-action-overlap
FMS,14,true,true,false,exact-overlap-opposite-effect
FMS,15,true,true,true,exact-overlap-opposite-effect
FMS,16,true,true,false,partial-action-overlap
FMS,17,true,true,true,exact-overlap-opposite-effect
FMS,18,true,true,false,exact-overlap-opposite-effect
FMS,19,true,true,true,partial-action-overlap
FMS,20,true,true,false,exact-overlap-opposite-effect
FMS,21,true,true,true,exact-overlap-opposite-effect
FMS,22,true,true,false,partial-action-overlap
FMS,23,true,true,true,exact-overlap-opposite-effect
FMS,24,true,true,false,exact-overlap-opposite-effect
FMS,25,true,true,true,partial-action-overlap
FMS,26,true,true,false,exact-overlap-opposite-effect
FMS,27,true,true,true,exact-overlap-opposite-effect
FMS,28,true,true,false,partial-action-overlap
FMS,29,true,true,true,exact-overlap-opposite-effect
FMS,30,true,true,false,exact-overlap-opposite-effect
FMS,31,false,false,true,different-subject
FMS,32,false,false,false,different-resource
FMS,33,false,false,true,disjoint-action
FMS,34,false,false,false,same-effect
FMS,35,false,false,true,different-subject-attribute
FMS,36,false,false,false,different-subject
FMS,37,false,false,true,different-resource
FMS,38,false,false,false,disjoint-action
FMS,39,false,false,false,same-effect
FMS,40,false,false,false,different-subject-attribute
FMS,41,false,false,true,different-subject
FMS,42,false,false,false,different-resource
FMS,43,false,false,true,disjoint-action
FMS,44,false,false,false,same-effect
FMS,45,false,false,true,different-subject-attribute
FMS,46,false,false,false,different-subject
FMS,47,false,false,true,different-resource
FMS,48,false,false,false,disjoint-action
FMS,49,false,false,false,same-effect
FMS,50,false,false,false,different-subject-attribute
FMS,51,false,false,true,different-subject
FMS,52,false,false,false,different-resource
FMS,53,false,false,true,disjoint-action
FMS,54,false,false,false,same-effect
FMS,55,false,false,true,different-subject-attribute
FMS,56,false,false,false,different-subject
FMS,57,false,false,true,different-resource
FMS,58,false,false,false,disjoint-action
FMS,59,false,false,false,same-effect
FMS,60,false,false,false,different-subject-attribute
SIS,1,true,true,true,partial-action-overlap
SIS,2,true,true,false,exact-overlap-opposite-effect
SIS,3,true,true,true,exact-overlap-opposite-effect
SIS,4,true,true,false,partial-action-overlap
SIS,5,true,true,true,exact-overlap-opposite-effect
SIS,6,true,true,false,exact-overlap-opposite-effect
SIS,7,true,true,true,partial-action-overlap
SIS,8,true,true,false,exact-overlap-opposite-effect
SIS,9,true,true,true,exact-overlap-opposite-effect
SIS,10,true,true,false,partial-action-overlap
SIS,11,true,true,true,exact-overlap-opposite-effect
SIS,12,true,true,false,exact-overlap-opposite-effect
SIS,13,true,true,true,partial-action-overlap
SIS,14,true,true,false,exact-overlap-opposite-effect
SIS,15,true,true,true,exact-overlap-opposite-effect
SIS,16,true,true,false,partial-action-overlap
SIS,17,true,true,true,exact-overlap-opposite-effect
SIS,18,true,true,false,exact-overlap-opposite-effect
SIS,19,true,true,true,partial-action-overlap
SIS,20,true,true,false,exact-overlap-opposite-effect
SIS,21,true,true,true,exact-overlap-opposite-effect
SIS,22,true,true,false,partial-action-overlap
SIS,23,true,true,true,exact-overlap-opposite-effect
SIS,24,true,true,false,exact-overlap-opposite-effect
SIS,25,true,true,true,partial-action-overlap
SIS,26,true,true,false,exact-overlap-opposite-effect
SIS,27,true,true,true,exact-overlap-opposite-effect
SIS,28,true,true,false,partial-action-overlap
SIS,29,true,true,true,exact-overlap-opposite-effect
SIS,30,true,true,false,exact-overlap-opposite-effect
SIS,31,false,false,true,different-subject
SIS,32,false,false,false,different-resource
SIS,33,false,false,true,disjoint-action
SIS,34,false,false,false,same-effect
