scenario,rules,repetition,transform_ms,parse_ms,conflict_ms,compliance_ms,conflicts,resolved_rules
conflict-free,50,1,0.685,4.596,0.051,0.401,0,50
conflict-free,50,2,0.479,3.767,0.026,0.389,0,50
conflict-free,50,3,0.484,3.652,0.025,0.324,0,50
conflict-free,50,4,0.318,3.904,0.025,0.336,0,50
conflict-free,50,5,0.377,3.799,0.026,0.302,0,50
conflict-free,50,6,0.302,3.466,0.026,0.387,0,50
conflict-free,50,7,0.283,3.787,0.035,0.420,0,50
conflict-free,50,8,0.529,3.770,0.025,0.300,0,50
conflict-free,50,9,0.258,3.438,0.025,0.319,0,50
conflict-free,50,10,0.263,3.014,0.037,0.274,0,50
conflict-free,50,11,0.578,3.968,0.026,0.373,0,50
conflict-free,50,12,0.362,3.153,0.024,0.354,0,50
conflict-free,50,13,0.496,2.963,0.025,0.361,0,50
conflict-free,50,14,0.397,2.748,0.024,0.600,0,50
conflict-free,50,15,0.323,3.195,0.024,0.354,0,50
conflict-free,50,16,0.296,2.946,0.025,0.304,0,50
conflict-free,50,17,0.405,2.761,0.025,0.307,0,50
conflict-free,50,18,0.341,2.453,0.027,0.359,0,50
conflict-free,50,19,0.274,2.370,0.024,0.323,0,50
conflict-free,50,20,0.308,2.817,0.052,0.365,0,50
conflict-free,100,1,0.426,3.672,0.102,2.833,0,100
conflict-free,100,2,0.467,3.642,0.083,0.606,0,100
conflict-free,100,3,0.257,3.096,0.083,0.525,0,100
conflict-free,100,4,0.256,5.600,0.159,0.962,0,100
conflict-free,100,5,0.459,4.598,0.155,0.905,0,100
conflict-free,100,6,0.513,4.713,0.193,0.937,0,100
conflict-free,100,7,0.462,4.450,0.166,1.031,0,100
conflict-free,100,8,0.451,4.848,0.164,0.923,0,100
conflict-free,100,9,0.415,4.383,0.154,0.953,0,100
conflict-free,100,10,0.430,4.469,0.163,0.909,0,100
conflict-free,100,11,0.466,4.660,0.162,1.156,0,100
conflict-free,100,12,0.452,3.898,0.156,0.976,0,100
conflict-free,100,13,0.452,3.703,0.155,0.968,0,100
conflict-free,100,14,0.457,3.615,0.159,0.903,0,100
conflict-free,100,15,0.532,3.786,0.156,0.919,0,100
conflict-free,100,16,0.615,3.816,0.160,0.939,0,100
conflict-free,100,17,0.521,3.587,0.145,0.940,0,100
conflict-free,100,18,0.597,6.472,0.157,0.977,0,100
conflict-free,100,19,0.526,3.756,0.154,0.548,0,100
conflict-free,100,20,0.297,2.250,0.106,0.558,0,100
conflict-free,200,1,0.560,6.164,0.356,1.204,0,200
conflict-free,200,2,0.474,4.257,0.317,1.060,0,200
conflict-free,200,3,0.404,3.801,0.389,1.073,0,200
conflict-free,200,4,0.553,4.008,0.352,1.064,0,200
conflict-free,200,5,0.455,6.607,0.333,1.003,0,200
conflict-free,200,6,0.445,3.306,0.314,0.963,0,200
conflict-free,200,7,0.419,3.476,0.339,0.958,0,200
conflict-free,200,8,0.399,3.227,0.330,0.955,0,200
conflict-free,200,9,0.429,3.787,0.352,1.032,0,200
conflict-free,200,10,0.405,5.197,0.517,1.833,0,200
conflict-free,200,11,0.756,5.599,0.399,1.847,0,200
conflict-free,200,12,0.689,5.435,0.388,1.673,0,200
conflict-free,200,13,0.691,5.581,0.361,1.684,0,200
conflict-free,200,14,2.948,6.193,0.355,1.680,0,200
conflict-free,200,15,1.102,6.353,0.173,1.602,0,200
conflict-free,200,16,1.149,6.360,0.159,1.556,0,200
conflict-free,200,17,1.199,5.540,0.190,1.325,0,200
conflict-free,200,18,0.649,4.813,0.155,1.121,0,200
conflict-free,200,19,0.625,4.781,0.153,1.170,0,200
conflict-free,200,20,0.608,4.954,0.189,1.125,0,200
conflict-free,500,1,0.760,7.375,0.774,1.413,0,500
conflict-free,500,2,0.712,7.124,0.670,1.488,0,500
conflict-free,500,3,0.852,6.472,0.682,1.479,0,500
conflict-free,500,4,1.488,6.604,0.673,1.471,0,500
conflict-free,500,5,1.110,6.379,0.691,1.277,0,500
conflict-free,500,6,1.130,9.949,0.666,1.331,0,500
conflict-free,500,7,0.710,6.300,0.667,1.239,0,500
conflict-free,500,8,0.673,6.176,0.661,1.156,0,500
conflict-free,500,9,0.743,6.076,0.660,1.222,0,500
conflict-free,500,10,0.684,5.904,0.749,1.104,0,500
conflict-free,500,11,0.646,6.353,0.791,1.093,0,500
conflict-free,500,12,0.645,8.580,0.673,1.103,0,500
conflict-free,500,13,0.599,5.802,0.680,1.044,0,500
conflict-free,500,14,0.592,5.771,0.666,1.121,0,500
conflict-free,500,15,0.622,6.016,0.667,1.048,0,500
conflict-free,500,16,0.666,5.787,0.661,1.026,0,500
conflict-free,500,17,0.583,5.561,0.662,1.013,0,500
conflict-free,500,18,0.583,10.368,0.666,1.402,0,500
conflict-free,500,19,0.828,7.752,0.670,1.330,0,500
conflict-free,500,20,1.023,7.530,2.338,2.094,0,500
conflict-free,1000,1,1.464,14.060,3.101,2.446,0,1000
conflict-free,1000,2,1.355,10.737,2.993,1.644,0,1000
conflict-free,1000,3,1.951,11.790,3.375,1.539,0,1000
conflict-free,1000,4,1.209,11.941,2.808,1.404,0,1000
conflict-free,1000,5,1.474,13.763,5.978,2.847,0,1000
conflict-free,1000,6,1.448,17.490,4.547,2.311,0,1000
conflict-free,1000,7,1.414,10.929,2.784,1.271,0,1000
conflict-free,1000,8,1.153,10.706,2.761,2.952,0,1000
conflict-free,1000,9,0.825,16.078,2.788,1.401,0,1000
conflict-free,1000,10,0.961,11.833,3.176,2.095,0,1000
conflict-free,1000,11,0.894,12.298,2.920,1.605,0,1000
conflict-free,1000,12,0.879,10.531,2.760,2.205,0,1000
conflict-free,1000,13,1.071,18.083,4.042,3.549,0,1000
conflict-free,1000,14,1.731,21.248,4.422,3.684,0,1000
