scenario,rules,repetitions,transform_mean_ms,transform_sd_ms,parse_mean_ms,parse_sd_ms,conflict_mean_ms,conflict_sd_ms,compliance_mean_ms,compliance_sd_ms,mean_conflicts,mean_resolved_rules
conflict-free,50,20,0.388,0.118,3.328,0.577,0.029,0.008,0.357,0.069,0.000,50.000
conflict-free,100,20,0.453,0.095,4.151,0.903,0.147,0.029,0.973,0.471,0.000,100.000
conflict-free,200,20,0.748,0.575,4.972,1.103,0.306,0.101,1.296,0.319,0.000,200.000
conflict-free,500,20,0.782,0.235,6.894,1.362,0.768,0.371,1.273,0.252,0.000,500.000
conflict-free,1000,20,1.343,0.324,14.452,3.255,3.480,0.895,2.291,0.845,0.000,1000.000
conflict-free,2000,20,1.953,0.369,22.075,3.641,13.198,1.453,3.601,0.615,0.000,2000.000
paired-conflicts,50,20,0.187,0.069,1.682,0.325,0.119,0.059,0.159,0.137,25.000,25.000
paired-conflicts,100,20,0.197,0.093,2.382,0.420,0.226,0.116,0.130,0.045,50.000,50.000
paired-conflicts,200,20,0.256,0.062,3.758,0.770,0.293,0.083,0.549,1.466,100.000,100.000
paired-conflicts,500,20,0.548,0.248,5.417,1.024,1.026,0.127,0.361,0.125,250.000,250.000
paired-conflicts,1000,20,0.839,0.094,10.315,1.983,4.001,0.561,0.724,0.509,500.000,500.000
paired-conflicts,2000,20,2.191,0.678,19.809,0.926,20.151,0.589,1.676,0.360,1000.000,1000.000
